year,stock,stock.sd,recruits,recruit.sd
1982,6563.9,686.56,4304,254
1983,4676.5,473.83,3579,208
1984,4497,372.19,3527,206
1985,5260.1,373.18,3275,195
1986,6588.6,428.49,4434,241
1987,8946,523,5267,273
1988,12546,671.69,6466,320
1989,17972,892.25,9166,421
1990,22279,1071.5,7647,384
1991,25472,1212.2,8076,413
1992,31716,1460.5,10436,499
1993,38455,1735.2,20589,817
1994,45099,1967.9,13237,632
1995,55554,2380.9,14959,728
1996,64564,2758.6,16493,834
1997,71257,3106.4,9837,607
1998,64840,2987.6,9329,631
1999,65394,3196.1,7421,585
2000,71812,3732.9,12791,1012
2001,73712,4153.8,15122,1360
2002,78177,4887,7700,867
2003,77968,5442.5,22279,2546
2004,73959,6011.1,8237,1293
2005,69986,6806.4,10038,2220
